amount,hour,merchant_cat,device_type,sender_age_days,receiver_age_days,txn_count_1h,same_device,is_fraud
6887.391823338536,16,2,2,235,1966,2,1,0
10346.947966233727,17,1,0,1014,815,1,1,0
13340.483907657524,16,0,0,812,1686,2,1,0
38874.46581624711,20,7,0,1325,854,0,1,0
4099.018459478215,15,6,0,1543,1366,3,1,0
6396.4722895191135,13,1,1,1929,500,3,1,0
600.3313259539688,15,5,0,72,755,4,1,0
9424.034174796552,19,3,0,1897,651,3,1,0
490.2428540942125,17,8,0,1061,675,1,1,0
1353.389625107819,20,5,0,731,1860,3,1,0
2368.3741946641817,8,8,0,1431,681,1,0,0
10302.862411387221,7,1,0,1015,995,3,1,0
5596.300995509035,8,1,0,760,1136,1,1,0
765.7772938640438,9,8,0,1586,298,0,1,0
1291.9840637320806,21,2,0,1528,208,2,1,0
13639.650494284106,17,6,0,436,1720,2,1,0
1134.100081458962,22,1,0,1081,979,4,0,0
4906.562227676669,6,0,2,77,1731,1,1,0
8010.8789357572805,22,8,1,977,1253,0,1,0
1531.5835396483046,11,7,0,903,1565,4,1,0
1588.6716168000066,7,0,0,1696,1695,3,1,0
17902.962563232548,22,8,1,641,318,0,1,0
20264.63879645362,8,0,0,639,1883,0,1,0
7433.7111397790295,12,2,2,1061,1035,2,1,0
1866.657165749808,8,0,0,503,863,0,1,0
528.3793410537698,15,4,2,870,151,0,1,0
74695.34435988353,21,7,1,1474,280,3,1,0
3219.751099746677,22,8,0,499,1653,4,1,0
13890.777418211192,13,2,0,310,1742,4,1,0
12080.506730376614,8,8,0,164,545,1,1,0
2653.950327325503,7,0,0,1045,430,2,1,0
3666.437265050313,18,7,0,1214,222,4,1,0
11181.296291177057,7,6,0,83,1701,0,1,0
6816.239103043581,9,7,0,268,801,3,1,0
688.7351755044306,12,4,0,63,1693,2,1,0
471.8312327634972,22,9,0,1356,1687,4,1,0
8075.716404464322,22,9,0,350,606,1,1,0
1338.8434284753873,20,8,0,553,1836,1,1,0
8100.181742599228,11,3,0,1921,110,4,1,0
8036.863296467855,6,5,0,1600,1702,1,1,0
4331.767944346189,8,5,1,1690,236,4,1,0
1107.5363968430615,20,5,0,1310,108,2,1,0
7073.850819504947,22,8,0,1509,1783,0,1,0
11607.826961892224,21,5,1,1175,134,1,1,0
23488.778639059776,20,9,0,1085,1239,1,1,0
6102.395827336392,13,1,0,1373,499,0,1,0
6852.373792408598,20,0,0,1106,1775,2,1,0
20061.052203804094,7,3,1,1848,1798,4,1,0
7076.19068422496,20,3,0,1993,1423,0,0,0
2491.3322092207673,20,1,0,1979,1606,1,1,0
4123.181410567228,12,8,1,1564,1927,1,1,0
2628.2029303412687,19,8,2,1313,1896,3,1,0
7259.408926512709,7,7,0,158,1851,2,1,0
680.3908623934108,9,4,0,955,1423,0,1,0
39422.37214268703,18,7,2,635,1582,3,1,0
200000.0,0,1,0,5,9,20,0,1
1833.162037893449,7,1,0,1642,1780,3,1,0
6172.157139515148,12,5,0,1086,1707,0,1,0
3037.5356537413154,10,1,0,409,1744,4,1,0
2221.750614146956,22,3,2,1472,1576,1,1,0
1972.3131208339469,18,4,1,1308,1678,0,1,0
5637.629370686588,11,6,0,1857,262,2,1,0
10984.777705078852,13,2,0,624,1804,4,1,0
7290.308991927346,12,0,2,76,1760,0,1,0
77621.27908062797,18,9,0,1874,707,4,1,0
1850.984106510505,10,1,0,598,345,2,1,0
20419.57233028405,7,0,1,977,1482,4,1,0
4341.155620740846,16,5,0,382,1102,0,1,0
4718.134638603336,10,3,1,57,134,3,1,0
8322.909469188276,15,3,0,1018,1305,3,1,0
10870.305457745835,13,2,0,1434,1750,0,1,0
151588.68432786947,15,0,0,76,92,2,1,0
4383.411554031301,17,0,0,1470,1326,3,1,0
72080.46633764279,6,5,0,643,131,3,1,0
50925.1336185332,20,3,0,425,1135,2,1,0
10407.21210782687,16,9,0,338,1104,2,1,0
